,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
105,Gardner-Webb,31,18,13,.581,-2.30,-4.37,,11,5,,11,3,,6,9,,2154,1989,,69.7,99.7,.287,.396,.536,52.0,52.2,10.4,14.6,.509,17.2,25.3,.201
106,George Mason,30,14,16,.467,4.34,2.14,,7,9,,10,4,,4,8,,2122,2056,,66.6,104.0,.291,.465,.553,51.3,56.5,7.4,9.7,.529,16.1,25.0,.202
107,George Washington,30,12,18,.400,-3.89,0.58,,8,9,,8,5,,3,10,,2051,2185,,69.7,96.9,.260,.358,.516,46.2,48.5,9.8,10.5,.489,16.0,23.2,.181
108,Georgetown,31,6,25,.194,1.96,8.29,,0,19,,6,11,,0,11,,2192,2388,,71.0,99.5,.290,.360,.501,50.1,47.5,10.1,10.9,.462,15.9,32.3,.216
109,Georgia Southern,29,13,16,.448,-6.97,-2.97,,5,11,,7,5,,4,10,,1927,1903,,67.1,98.2,.303,.350,.527,50.0,48.6,11.0,10.1,.500,18.5,28.6,.206
110,Georgia State NCAA,28,18,10,.643,-1.23,-2.31,,9,5,,8,4,,6,5,,1977,1813,,68.3,102.0,.293,.377,.500,51.0,54.2,12.9,13.0,.465,14.4,34.3,.210
111,Georgia Tech,32,12,20,.375,1.91,5.75,,5,15,,8,10,,3,8,,2195,2264,,68.6,98.4,.247,.346,.527,49.0,53.2,11.2,7.2,.502,16.7,25.7,.172
112,Georgia,32,6,26,.188,-0.36,8.33,,1,17,,6,13,,0,10,,2234,2512,,69.8,100.0,.390,.370,.546,48.4,58.2,7.5,5.9,.502,18.4,25.6,.292
113,Gonzaga NCAA,29,26,3,.897,26.73,4.24,,13,1,,16,0,,5,1,,2547,1895,,73.8,119.0,.298,.355,.616,56.0,55.3,9.0,13.8,.594,14.2,29.0,.218
114,Grambling,32,12,20,.375,-12.11,-4.84,,8,9,,6,4,,4,14,,2092,2273,,70.5,92.8,.330,.281,.491,48.2,46.7,9.4,9.1,.451,17.6,27.9,.234
115,Grand Canyon,31,23,8,.742,6.10,-2.28,,12,5,,15,2,,6,5,,2204,1898,,67.7,105.0,.310,.395,.527,54.1,50.5,9.8,5.9,.500,16.2,34.7,.210
116,Green Bay,30,5,25,.167,-13.57,-5.12,,4,16,,4,9,,1,13,,1852,2068,,64.9,95.1,.316,.347,.505,48.4,48.2,7.7,7.9,.468,17.4,27.3,.226
117,Hampton,28,9,19,.321,-13.46,-5.92,,5,11,,7,4,,2,11,,1814,1946,,69.2,92.7,.361,.349,.493,46.6,46.5,7.4,10.3,.451,16.0,23.1,.253
118,Hartford,32,12,20,.375,-9.93,-7.59,,9,9,,7,5,,5,13,,2234,2309,,67.1,103.7,.276,.452,.555,48.3,48.8,9.0,8.8,.533,16.2,23.8,.191
119,Harvard,26,13,13,.500,-4.65,-4.17,,5,9,,9,6,,4,7,,1858,1797,,69.7,101.1,.263,.428,.528,49.8,43.6,10.8,7.3,.503,15.4,25.4,.182
120,Hawaii,28,17,11,.607,-0.10,-2.63,,12,5,,10,4,,5,5,,1928,1796,,66.2,104.0,.325,.420,.552,53.4,51.6,5.3,5.5,.516,17.3,29.1,.242
121,High Point,32,14,18,.438,-6.50,-3.36,,7,9,,10,6,,3,10,,2225,2232,,67.7,100.0,.343,.340,.523,49.6,49.5,9.3,12.7,.499,16.7,28.3,.219
122,Hofstra,32,21,11,.656,1.60,-0.80,,13,5,,12,2,,8,8,,2494,2333,,70.5,109.7,.209,.447,.566,48.2,53.3,11.2,8.0,.539,13.0,23.7,.166
123,Holy Cross,31,9,22,.290,-16.81,-7.84,,7,11,,5,9,,4,11,,2022,2192,,67.9,96.1,.281,.294,.497,48.9,42.5,8.7,9.9,.464,16.0,27.6,.199
124,Houston Baptist,29,11,18,.379,-14.22,-6.46,,6,8,,7,6,,3,8,,2190,2220,,72.2,102.9,.383,.363,.542,52.5,51.2,10.8,6.9,.504,17.8,31.9,.272
125,Houston NCAA,34,29,5,.853,22.30,5.36,,15,3,,16,1,,7,3,,2578,2002,,65.4,114.7,.287,.391,.556,55.3,59.5,12.5,17.3,.536,14.2,37.8,.192
126,Howard,29,16,13,.552,-6.55,-8.32,,9,5,,9,4,,5,8,,2215,2019,,73.4,103.6,.351,.395,.549,48.3,55.1,11.4,9.2,.510,17.5,28.9,.262
127,Idaho State,30,7,23,.233,-14.65,-4.97,,5,15,,5,8,,2,14,,1931,2146,,65.9,97.2,.339,.425,.517,49.9,46.5,6.8,6.3,.484,18.2,28.8,.232
128,Idaho,31,9,22,.290,-12.86,-4.45,,6,14,,8,7,,1,12,,2263,2468,,71.3,101.5,.351,.378,.550,49.0,47.4,4.9,5.5,.512,17.0,23.6,.258
129,Illinois-Chicago,30,14,16,.467,-8.47,-6.05,,9,10,,6,6,,8,8,,2159,2188,,69.4,102.4,.228,.461,.537,48.5,55.3,8.2,9.4,.514,15.2,24.6,.161
130,Illinois State,33,13,20,.394,-0.46,1.05,,5,13,,11,6,,1,11,,2447,2466,,69.2,104.4,.314,.366,.553,50.3,46.7,9.6,12.5,.518,17.0,28.5,.234
131,Illinois NCAA,31,22,9,.710,17.77,9.64,,15,5,,13,3,,7,4,,2349,2097,,68.2,110.2,.317,.427,.559,54.3,57.7,7.5,7.1,.531,15.2,33.4,.224
