,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
104,Gardner-Webb,26,11,15,.423,-3.28,-5.55,,10,10,,7,4,,4,11,,1837,1778,,67.0,102.1,.365,.407,.528,50.5,55.9,8.2,10.0,.486,15.9,28.1,.267
105,George Mason,22,13,9,.591,3.01,1.58,,8,6,,7,3,,3,4,,1569,1538,,69.2,98.2,.282,.358,.532,48.1,44.3,9.2,6.6,.501,17.7,24.3,.204
106,George Washington,17,5,12,.294,-4.56,-0.38,,3,5,,3,6,,1,5,,1158,1229,,68.9,104.2,.250,.365,.531,50.7,54.4,10.3,10.1,.510,14.6,28.5,.168
107,Georgetown NCAA,25,13,12,.520,11.73,11.05,,7,9,,7,6,,2,6,,1784,1767,,70.2,100.2,.259,.397,.507,46.6,56.3,11.0,7.8,.480,14.1,27.3,.178
108,Georgia Southern,26,13,13,.500,-9.73,-5.77,,7,9,,9,4,,4,8,,1860,1762,,68.4,96.3,.305,.391,.524,48.1,44.1,10.2,7.8,.492,19.6,28.2,.216
109,Georgia State,22,16,6,.727,-1.21,-4.11,,8,4,,9,1,,5,4,,1767,1599,,71.2,99.9,.327,.408,.516,49.6,48.4,8.6,7.1,.482,17.3,31.5,.228
110,Georgia Tech NCAA,25,17,8,.680,14.07,8.55,,11,6,,11,3,,4,5,,1888,1750,,68.2,100.1,.289,.347,.549,52.8,54.4,7.8,7.9,.522,19.9,29.7,.204
111,Georgia,26,14,12,.538,7.04,8.44,,7,11,,12,5,,2,6,,2014,2027,,75.8,102.4,.310,.374,.549,49.2,48.2,11.3,10.6,.521,18.9,31.4,.218
112,Gonzaga NCAA,26,26,0,1.000,26.38,3.38,,15,0,,12,0,,7,0,,2395,1797,,75.3,91.8,.259,.345,.504,44.7,44.8,8.0,6.9,.475,18.2,23.4,.182
113,Grambling,24,12,12,.500,-14.78,-13.00,,9,6,,6,4,,5,7,,1617,1649,,72.1,94.8,.378,.381,.500,51.5,62.4,10.6,11.6,.464,17.9,30.4,.252
114,Grand Canyon NCAA,23,17,6,.739,3.81,-5.79,,9,3,,10,3,,5,1,,1738,1405,,68.3,89.4,.286,.420,.474,43.0,45.5,8.4,5.3,.437,15.5,21.7,.201
115,Green Bay,25,8,17,.320,-9.38,-4.46,,8,12,,6,6,,2,11,,1790,1913,,67.7,109.8,.319,.343,.566,52.4,44.9,8.1,6.7,.535,14.8,29.0,.232
116,Hampton,25,11,14,.440,-13.02,-8.62,,9,9,,5,7,,6,7,,1721,1831,,70.1,104.5,.354,.378,.527,54.0,49.9,9.2,7.7,.492,15.3,31.7,.247
117,Hartford NCAA,23,15,8,.652,-2.76,-5.36,,8,6,,10,1,,5,6,,1515,1455,,66.5,95.1,.250,.407,.500,51.1,48.3,8.0,10.7,.476,17.7,28.6,.167
118,Harvard,0,0,0,,,,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,
119,Hawaii,21,11,10,.524,-4.52,-4.26,,9,9,,7,5,,4,4,,1503,1452,,68.4,99.3,.280,.303,.525,47.3,40.7,10.1,7.7,.493,15.5,24.5,.204
120,High Point,24,9,15,.375,-10.16,-6.95,,6,11,,5,5,,4,10,,1600,1677,,67.4,103.1,.341,.449,.550,49.0,58.2,9.2,10.6,.524,17.7,28.2,.232
121,Hofstra,23,13,10,.565,-1.80,-1.98,,8,6,,7,3,,5,6,,1683,1679,,68.9,105.4,.258,.381,.541,50.0,60.4,8.5,8.8,.511,15.1,28.9,.192
122,Holy Cross,16,5,11,.313,-0.17,5.27,,5,11,,2,7,,3,4,,1130,1217,,69.9,108.0,.352,.331,.558,52.9,48.6,9.8,8.0,.526,16.2,31.5,.252
123,Houston Baptist,25,6,19,.240,-16.93,-5.93,,4,11,,4,6,,1,12,,1776,2007,,74.2,107.6,.282,.385,.563,52.9,52.8,12.0,8.8,.537,16.6,31.2,.203
124,Houston NCAA,27,24,3,.889,22.16,4.16,,14,3,,15,0,,5,3,,2096,1562,,66.6,86.8,.415,.380,.467,43.8,52.0,7.5,7.0,.423,19.1,27.5,.274
125,Howard,5,1,4,.200,-13.77,-2.02,,0,0,,1,1,,0,0,,363,424,,73.1,115.8,.303,.411,.556,52.8,62.8,11.2,9.4,.542,10.4,30.6,.189
126,Idaho State,24,13,11,.542,-9.83,-7.14,,8,6,,8,3,,5,5,,1637,1481,,66.4,92.0,.330,.315,.494,45.3,44.7,10.7,5.9,.458,17.2,24.7,.226
